"X" "pokedex_number" "name" "german_name" "japanese_name" "generation" "status" "species" "type_number" "type_1" "height_m" "weight_kg" "abilities_number" "ability_1" "total_points" "hp" "attack" "defense" "sp_attack" "sp_defense" "speed" "catch_rate" "growth_rate" "egg_type_number" "egg_type_1" "egg_cycles" "against_normal" "against_fire" "against_water" "against_electric" "against_grass" "against_ice" "against_fight" "against_poison" "against_ground" "against_flying" "against_psychic" "against_bug" "against_rock" "against_ghost" "against_dragon" "against_dark" "against_steel" "against_fairy" "nb" "nb1"
"190" 236 190 "Aipom" "Griffel" "<U+30A8><U+30A4><U+30D1><U+30E0> (Eipam)" 2 "Normal" "Long Tail Pokémon" 1 "Normal" 0.8 11.5 3 "Run Away" 360 55 70 55 40 55 85 45 "Fast" 1 "Field" 20 1 1 1 1 1 1 2 1 1 1 1 1 1 0 1 1 1 1 2 0
"191" 237 191 "Sunkern" "Sonnkern" "<U+30D2><U+30DE><U+30CA><U+30C3><U+30C4> (Himanuts)" 2 "Normal" "Seed Pokémon" 1 "Grass" 0.3 1.8 3 "Chlorophyll" 180 30 30 30 30 30 30 235 "Medium Slow" 1 "Grass" 20 1 2 0.5 0.5 0.5 2 1 2 0.5 2 1 2 1 1 1 1 1 1 2 0
"192" 238 192 "Sunflora" "Sonnflora" "<U+30AD><U+30DE><U+30EF><U+30EA> (Kimawari)" 2 "Normal" "Sun Pokémon" 1 "Grass" 0.8 8.5 3 "Chlorophyll" 425 75 75 55 105 85 30 120 "Medium Slow" 1 "Grass" 20 1 2 0.5 0.5 0.5 2 1 2 0.5 2 1 2 1 1 1 1 1 1 2 0
"193" 239 193 "Yanma" "Yanma" "<U+30E4><U+30F3><U+30E4><U+30F3><U+30DE> (Yanyanma)" 2 "Normal" "Clear Wing Pokémon" 2 "Bug" 1.2 38 3 "Speed Boost" 390 65 65 45 75 45 95 75 "Medium Fast" 1 "Bug" 20 1 2 1 2 0.25 2 0.25 1 0 2 1 0.5 4 1 1 1 1 1 1 0
"194" 240 194 "Wooper" "Felino" "<U+30A6><U+30D1><U+30FC> (Upah)" 2 "Normal" "Water Fish Pokémon" 2 "Water" 0.4 8.5 3 "Damp" 210 55 45 45 25 25 15 255 "Medium Fast" 2 "Field" 20 1 0.5 1 0 4 1 1 0.5 1 1 1 1 0.5 1 1 1 0.5 1 0 0
"195" 241 195 "Quagsire" "Morlord" "<U+30CC><U+30AA><U+30FC> (Nuoh)" 2 "Normal" "Water Fish Pokémon" 2 "Water" 1.4 75 3 "Damp" 430 95 85 85 65 65 35 90 "Medium Fast" 2 "Field" 20 1 0.5 1 0 4 1 1 0.5 1 1 1 1 0.5 1 1 1 0.5 1 0 0
"196" 242 196 "Espeon" "Psiana" "<U+30A8><U+30FC><U+30D5><U+30A3> (Eifie)" 2 "Normal" "Sun Pokémon" 1 "Psychic" 0.9 26.5 2 "Synchronize" 525 65 65 60 130 95 110 45 "Medium Fast" 1 "Field" 35 1 1 1 1 1 1 0.5 1 1 1 0.5 2 1 2 1 2 1 1 3 0
"197" 243 197 "Umbreon" "Nachtara" "<U+30D6><U+30E9><U+30C3><U+30AD><U+30FC> (Blacky)" 2 "Normal" "Moonlight Pokémon" 1 "Dark" 1 27 2 "Synchronize" 525 95 65 110 60 130 65 45 "Medium Fast" 1 "Field" 35 1 1 1 1 1 1 2 1 1 1 0 2 1 0.5 1 0.5 1 2 3 0
"198" 244 198 "Murkrow" "Kramurx" "<U+30E4><U+30DF><U+30AB><U+30E9><U+30B9> (Yamikarasu)" 2 "Normal" "Darkness Pokémon" 2 "Dark" 0.5 2.1 3 "Insomnia" 405 60 85 42 85 42 91 30 "Medium Slow" 1 "Flying" 20 1 1 1 2 0.5 2 1 1 0 1 0 1 2 0.5 1 0.5 1 2 1 0
"199" 245 199 "Slowking" "Laschoking" "<U+30E4><U+30C9><U+30AD><U+30F3><U+30B0> (Yadoking)" 2 "Normal" "Royal Pokémon" 2 "Water" 2 79.5 3 "Oblivious" 490 95 75 80 100 110 30 70 "Medium Fast" 2 "Monster" 20 1 0.5 0.5 2 2 0.5 0.5 1 1 1 0.5 2 1 2 1 2 0.5 1 0 0
"200" 247 200 "Misdreavus" "Traunfugil" "<U+30E0><U+30A6><U+30DE> (Muma)" 2 "Normal" "Screech Pokémon" 1 "Ghost" 0.7 1 1 "Levitate" 435 60 60 60 85 85 85 45 "Fast" 1 "Amorphous" 25 0 1 1 1 1 1 0 0.5 0 1 1 0.5 1 2 1 2 1 1 4 0
"201" 248 201 "Unown" "Icognito" "<U+30A2><U+30F3><U+30CE><U+30FC><U+30F3> (Unknown)" 2 "Normal" "Symbol Pokémon" 1 "Psychic" 0.5 5 1 "Levitate" 336 48 72 48 72 48 48 225 "Medium Fast" 1 "Undiscovered" 40 1 1 1 1 1 1 0.5 1 0 1 0.5 2 1 2 1 2 1 1 5 0
"202" 249 202 "Wobbuffet" "Woingenau" "<U+30BD><U+30FC><U+30CA><U+30F3><U+30B9> (Sonans)" 2 "Normal" "Patient Pokémon" 1 "Psychic" 1.3 28.5 2 "Shadow Tag" 405 190 33 58 33 58 33 45 "Medium Fast" 1 "Amorphous" 20 1 1 1 1 1 1 0.5 1 1 1 0.5 2 1 2 1 2 1 1 3 0
"203" 250 203 "Girafarig" "Girafarig" "<U+30AD><U+30EA><U+30F3><U+30EA><U+30AD> (Kirinriki)" 2 "Normal" "Long Neck Pokémon" 2 "Normal" 1.5 41.5 3 "Inner Focus" 455 70 80 65 90 65 85 60 "Medium Fast" 1 "Field" 20 1 1 1 1 1 1 1 1 1 1 0.5 2 1 0 1 2 1 1 1 0
"204" 251 204 "Pineco" "Tannza" "<U+30AF><U+30CC><U+30AE><U+30C0><U+30DE> (Kunugidama)" 2 "Normal" "Bagworm Pokémon" 1 "Bug" 0.6 7.2 2 "Sturdy" 290 50 65 90 35 35 15 190 "Medium Fast" 1 "Bug" 20 1 2 1 1 0.5 1 0.5 1 0.5 2 1 1 2 1 1 1 1 1 3 0
"205" 252 205 "Forretress" "Forstellka" "<U+30D5><U+30A9><U+30EC><U+30C8><U+30B9> (Foretos)" 2 "Normal" "Bagworm Pokémon" 2 "Bug" 1.2 125.8 2 "Sturdy" 465 75 90 140 60 60 40 75 "Medium Fast" 1 "Bug" 20 0.5 4 1 1 0.25 0.5 1 0 1 1 0.5 0.5 1 1 0.5 1 0.5 0.5 2 0
"206" 253 206 "Dunsparce" "Dummisel" "<U+30CE><U+30B3><U+30C3><U+30C1> (Nokocchi)" 2 "Normal" "Land Snake Pokémon" 1 "Normal" 1.5 14 3 "Serene Grace" 415 100 70 70 65 65 45 190 "Medium Fast" 1 "Field" 20 1 1 1 1 1 1 2 1 1 1 1 1 1 0 1 1 1 1 2 0
"207" 254 207 "Gligar" "Skorgla" "<U+30B0><U+30E9><U+30A4><U+30AC><U+30FC> (Gliger)" 2 "Normal" "FlyScorpion Pokémon" 2 "Ground" 1.1 64.8 3 "Hyper Cutter" 430 65 75 105 35 65 85 60 "Medium Slow" 1 "Bug" 20 1 1 2 0 1 4 0.5 0.5 0 1 1 0.5 1 1 1 1 1 1 1 0
"208" 255 208 "Steelix" "Stahlos" "<U+30CF><U+30AC><U+30CD><U+30FC><U+30EB> (Haganeil)" 2 "Normal" "Iron Snake Pokémon" 2 "Steel" 9.2 400 3 "Rock Head" 510 75 85 200 55 65 30 25 "Medium Fast" 1 "Mineral" 25 0.5 2 2 0 1 1 2 0 2 0.5 0.5 0.5 0.25 1 0.5 1 0.5 0.5 1 0
"209" 257 209 "Snubbull" "Snubbull" "<U+30D6><U+30EB><U+30FC> (Bulu)" 2 "Normal" "Fairy Pokémon" 1 "Fairy" 0.6 7.8 3 "Intimidate" 300 60 80 50 40 40 30 190 "Fast" 2 "Fairy" 20 1 1 1 1 1 1 0.5 2 1 1 1 0.5 1 1 0 0.5 2 1 1 0
"210" 258 210 "Granbull" "Granbull" "<U+30B0><U+30E9><U+30F3><U+30D6><U+30EB> (Granbulu)" 2 "Normal" "Fairy Pokémon" 1 "Fairy" 1.4 48.7 3 "Intimidate" 450 90 120 75 60 60 45 75 "Fast" 2 "Fairy" 20 1 1 1 1 1 1 0.5 2 1 1 1 0.5 1 1 0 0.5 2 1 1 0
"211" 259 211 "Qwilfish" "Baldorfish" "<U+30CF><U+30EA><U+30FC><U+30BB><U+30F3> (Harysen)" 2 "Normal" "Balloon Pokémon" 2 "Water" 0.5 3.9 3 "Poison Point" 440 65 95 85 55 55 85 45 "Medium Fast" 1 "Water 2" 20 1 0.5 0.5 2 1 0.5 0.5 0.5 2 1 2 0.5 1 1 1 1 0.5 0.5 1 0
"212" 260 212 "Scizor" "Scherox" "<U+30CF><U+30C3><U+30B5><U+30E0> (Hassam)" 2 "Normal" "Pincer Pokémon" 2 "Bug" 1.8 118 3 "Swarm" 500 70 130 100 55 80 65 25 "Medium Fast" 1 "Bug" 25 0.5 4 1 1 0.25 0.5 1 0 1 1 0.5 0.5 1 1 0.5 1 0.5 0.5 1 0
"213" 262 213 "Shuckle" "Pottrott" "<U+30C4><U+30DC><U+30C4><U+30DC> (Tsubotsubo)" 2 "Normal" "Mold Pokémon" 2 "Bug" 0.6 20.5 3 "Sturdy" 505 20 10 230 10 230 5 190 "Medium Slow" 1 "Bug" 20 0.5 1 2 1 1 1 1 0.5 1 1 1 1 2 1 1 1 2 1 1 0
"214" 263 214 "Heracross" "Skaraborn" "<U+30D8><U+30E9><U+30AF><U+30ED><U+30B9> (Heracros)" 2 "Normal" "Single Horn Pokémon" 2 "Bug" 1.5 54 3 "Swarm" 500 80 125 75 40 95 85 45 "Slow" 1 "Bug" 25 1 2 1 1 0.5 1 0.5 1 0.5 4 2 0.5 1 1 1 0.5 1 2 1 0
"215" 265 215 "Sneasel" "Sniebel" "<U+30CB><U+30E5><U+30FC><U+30E9> (Nyula)" 2 "Normal" "Sharp Claw Pokémon" 2 "Dark" 0.9 28 3 "Inner Focus" 430 55 95 55 35 75 115 60 "Medium Slow" 1 "Field" 20 1 2 1 1 1 0.5 4 1 1 1 0 2 2 0.5 1 0.5 2 2 1 0
"216" 266 216 "Teddiursa" "Teddiursa" "<U+30D2><U+30E1><U+30B0><U+30DE> (Himeguma)" 2 "Normal" "Little Bear Pokémon" 1 "Normal" 0.6 8.8 3 "Pickup" 330 60 80 50 50 50 40 120 "Medium Fast" 1 "Field" 20 1 1 1 1 1 1 2 1 1 1 1 1 1 0 1 1 1 1 2 0
"217" 267 217 "Ursaring" "Ursaring" "<U+30EA><U+30F3><U+30B0><U+30DE> (Ringuma)" 2 "Normal" "Hibernator Pokémon" 1 "Normal" 1.8 125.8 3 "Guts" 500 90 130 75 75 75 55 60 "Medium Fast" 1 "Field" 20 1 1 1 1 1 1 2 1 1 1 1 1 1 0 1 1 1 1 2 0
"218" 268 218 "Slugma" "Schneckmag" "<U+30DE><U+30B0><U+30DE><U+30C3><U+30B0> (Magmag)" 2 "Normal" "Lava Pokémon" 1 "Fire" 0.7 35 3 "Magma Armor" 250 40 40 40 70 40 20 190 "Medium Fast" 1 "Amorphous" 20 1 0.5 2 1 0.5 0.5 1 1 2 1 1 0.5 2 1 1 1 0.5 0.5 2 0
"219" 269 219 "Magcargo" "Magcargo" "<U+30DE><U+30B0><U+30AB><U+30EB><U+30B4> (Magcargot)" 2 "Normal" "Lava Pokémon" 2 "Fire" 0.8 55 3 "Magma Armor" 430 60 50 120 90 80 30 75 "Medium Fast" 1 "Amorphous" 20 0.5 0.25 4 1 1 0.5 2 0.5 4 0.5 1 0.5 2 1 1 1 1 0.5 1 0
"220" 270 220 "Swinub" "Quiekel" "<U+30A6><U+30EA><U+30E0><U+30FC> (Urimoo)" 2 "Normal" "Pig Pokémon" 2 "Ice" 0.4 6.5 3 "Oblivious" 250 50 50 40 30 30 50 225 "Slow" 1 "Field" 20 1 2 2 0 2 1 2 0.5 1 1 1 1 1 1 1 1 2 1 1 0
"221" 271 221 "Piloswine" "Keifel" "<U+30A4><U+30CE><U+30E0><U+30FC> (Inomoo)" 2 "Normal" "Swine Pokémon" 2 "Ice" 1.1 55.8 3 "Oblivious" 450 100 100 80 60 60 50 75 "Slow" 1 "Field" 20 1 2 2 0 2 1 2 0.5 1 1 1 1 1 1 1 1 2 1 1 0
"222" 272 222 "Corsola" "Corasonn" "<U+30B5><U+30CB><U+30FC><U+30B4> (Sunnygo)" 2 "Normal" "Coral Pokémon" 2 "Water" 0.6 5 3 "Hustle" 410 65 55 95 65 95 35 60 "Fast" 2 "Water 1" 20 0.5 0.25 1 2 4 0.5 2 0.5 2 0.5 1 1 1 1 1 1 1 1 0 0
"223" 274 223 "Remoraid" "Remoraid" "<U+30C6><U+30C3><U+30DD><U+30A6><U+30AA> (Teppouo)" 2 "Normal" "Jet Pokémon" 1 "Water" 0.6 12 3 "Hustle" 300 35 65 35 65 35 65 190 "Medium Fast" 2 "Water 1" 20 1 0.5 0.5 2 2 0.5 1 1 1 1 1 1 1 1 1 1 0.5 1 1 0
"224" 275 224 "Octillery" "Octillery" "<U+30AA><U+30AF><U+30BF><U+30F3> (Okutank)" 2 "Normal" "Jet Pokémon" 1 "Water" 0.9 28.5 3 "Suction Cups" 480 75 105 75 105 75 45 75 "Medium Fast" 2 "Water 1" 20 1 0.5 0.5 2 2 0.5 1 1 1 1 1 1 1 1 1 1 0.5 1 1 0
"225" 276 225 "Delibird" "Botogel" "<U+30C7><U+30EA><U+30D0><U+30FC><U+30C9> (Delibird)" 2 "Normal" "Delivery Pokémon" 2 "Ice" 0.9 16 3 "Vital Spirit" 330 45 55 45 65 45 75 45 "Fast" 2 "Field" 20 1 2 1 2 0.5 1 1 1 0 1 1 0.5 4 1 1 1 2 1 0 0
"226" 277 226 "Mantine" "Mantax" "<U+30DE><U+30F3><U+30BF><U+30A4><U+30F3> (Mantain)" 2 "Normal" "Kite Pokémon" 2 "Water" 2.1 220 3 "Swift Swim" 485 85 40 70 80 140 70 25 "Slow" 1 "Water 1" 25 1 0.5 0.5 4 1 1 0.5 1 0 1 1 0.5 2 1 1 1 0.5 1 1 0
"227" 278 227 "Skarmory" "Panzaeron" "<U+30A8><U+30A2><U+30FC><U+30E0><U+30C9> (Airmd)" 2 "Normal" "Armor Bird Pokémon" 2 "Steel" 1.7 50.5 3 "Keen Eye" 465 65 80 140 40 70 70 25 "Slow" 1 "Flying" 25 0.5 2 1 2 0.25 1 1 0 0 0.5 0.5 0.25 1 1 0.5 1 0.5 0.5 1 0
"228" 279 228 "Houndour" "Hunduster" "<U+30C7><U+30EB><U+30D3><U+30EB> (Delvil)" 2 "Normal" "Dark Pokémon" 2 "Dark" 0.6 10.8 3 "Early Bird" 330 45 60 30 80 50 65 120 "Slow" 1 "Field" 20 1 0.5 2 1 0.5 0.5 2 1 2 1 0 1 2 0.5 1 0.5 0.5 1 1 0
"229" 280 229 "Houndoom" "Hundemon" "<U+30D8><U+30EB><U+30AC><U+30FC> (Hellgar)" 2 "Normal" "Dark Pokémon" 2 "Dark" 1.4 35 3 "Early Bird" 500 75 90 50 110 80 95 45 "Slow" 1 "Field" 20 1 0.5 2 1 0.5 0.5 2 1 2 1 0 1 2 0.5 1 0.5 0.5 1 1 0
"230" 282 230 "Kingdra" "Seedraking" "<U+30AD><U+30F3><U+30B0><U+30C9><U+30E9> (Kingdra)" 2 "Normal" "Dragon Pokémon" 2 "Water" 1.8 152 3 "Swift Swim" 540 75 95 95 95 95 85 45 "Medium Fast" 2 "Dragon" 20 1 0.25 0.25 1 1 1 1 1 1 1 1 1 1 1 2 1 0.5 2 0 0
"231" 283 231 "Phanpy" "Phanpy" "<U+30B4><U+30DE><U+30BE><U+30A6> (Gomazou)" 2 "Normal" "Long Nose Pokémon" 1 "Ground" 0.5 33.5 2 "Pickup" 330 90 60 60 40 40 40 120 "Medium Fast" 1 "Field" 20 1 1 2 0 2 2 1 0.5 1 1 1 1 0.5 1 1 1 1 1 3 0
"232" 284 232 "Donphan" "Donphan" "<U+30C9><U+30F3><U+30D5><U+30A1><U+30F3> (Donfan)" 2 "Normal" "Armor Pokémon" 1 "Ground" 1.1 120 2 "Sturdy" 500 90 120 120 60 60 50 60 "Medium Fast" 1 "Field" 20 1 1 2 0 2 2 1 0.5 1 1 1 1 0.5 1 1 1 1 1 3 0
"233" 285 233 "Porygon2" "Porygon2" "<U+30DD><U+30EA><U+30B4><U+30F3>2 (Porygon2)" 2 "Normal" "Virtual Pokémon" 1 "Normal" 0.6 32.5 3 "Trace" 515 85 80 90 105 95 60 45 "Medium Fast" 1 "Mineral" 20 1 1 1 1 1 1 2 1 1 1 1 1 1 0 1 1 1 1 3 0
"234" 286 234 "Stantler" "Damhirplex" "<U+30AA><U+30C9><U+30B7><U+30B7> (Odoshishi)" 2 "Normal" "Big Horn Pokémon" 1 "Normal" 1.4 71.2 3 "Intimidate" 465 73 95 62 85 65 85 45 "Slow" 1 "Field" 20 1 1 1 1 1 1 2 1 1 1 1 1 1 0 1 1 1 1 2 0
"235" 287 235 "Smeargle" "Farbeagle" "<U+30C9><U+30FC><U+30D6><U+30EB> (Doble)" 2 "Normal" "Painter Pokémon" 1 "Normal" 1.2 58 3 "Own Tempo" 250 55 20 35 20 45 75 45 "Fast" 1 "Field" 20 1 1 1 1 1 1 2 1 1 1 1 1 1 0 1 1 1 1 2 0
"236" 288 236 "Tyrogue" "Rabauz" "<U+30D0><U+30EB><U+30AD><U+30FC> (Balkie)" 2 "Normal" "Scuffle Pokémon" 1 "Fighting" 0.7 21 3 "Guts" 210 35 35 35 35 35 35 75 "Medium Fast" 1 "Undiscovered" 25 1 1 1 1 1 1 1 1 1 2 2 0.5 0.5 1 1 0.5 1 2 2 0
"237" 289 237 "Hitmontop" "Kapoera" "<U+30AB><U+30DD><U+30A8><U+30E9><U+30FC> (Kapoerer)" 2 "Normal" "Handstand Pokémon" 1 "Fighting" 1.4 48 3 "Intimidate" 455 50 95 95 35 110 70 45 "Medium Fast" 1 "Human-Like" 25 1 1 1 1 1 1 1 1 1 2 2 0.5 0.5 1 1 0.5 1 2 2 0
"238" 290 238 "Smoochum" "Kussilla" "<U+30E0><U+30C1><U+30E5><U+30FC><U+30EB> (Muchul)" 2 "Normal" "Kiss Pokémon" 2 "Ice" 0.4 6 3 "Oblivious" 305 45 30 15 85 65 65 45 "Medium Fast" 1 "Undiscovered" 25 1 2 1 1 1 0.5 1 1 1 1 0.5 2 2 2 1 2 2 1 1 0
"239" 291 239 "Elekid" "Elekid" "<U+30A8><U+30EC><U+30AD><U+30C3><U+30C9> (Elekid)" 2 "Normal" "Electric Pokémon" 1 "Electric" 0.6 23.5 2 "Static" 360 45 63 37 65 55 95 45 "Medium Fast" 1 "Undiscovered" 25 1 1 1 0.5 1 1 1 1 2 0.5 1 1 1 1 1 1 0.5 1 3 0
"240" 292 240 "Magby" "Magby" "<U+30D6><U+30D3><U+30A3> (Buby)" 2 "Normal" "Live Coal Pokémon" 1 "Fire" 0.7 21.4 2 "Flame Body" 365 45 75 37 70 55 83 45 "Medium Fast" 1 "Undiscovered" 25 1 0.5 2 1 0.5 0.5 1 1 2 1 1 0.5 2 1 1 1 0.5 0.5 3 0
"241" 293 241 "Miltank" "Miltank" "<U+30DF><U+30EB><U+30BF><U+30F3><U+30AF> (Miltank)" 2 "Normal" "Milk Cow Pokémon" 1 "Normal" 1.2 75.5 3 "Thick Fat" 490 95 80 105 40 70 100 45 "Slow" 1 "Field" 20 1 0.5 1 1 1 0.5 2 1 1 1 1 1 1 0 1 1 1 1 2 0
"242" 294 242 "Blissey" "Heiteira" "<U+30CF><U+30D4><U+30CA><U+30B9> (Happinas)" 2 "Normal" "Happiness Pokémon" 1 "Normal" 1.5 46.8 3 "Natural Cure" 540 255 10 10 75 135 55 30 "Fast" 1 "Fairy" 40 1 1 1 1 1 1 2 1 1 1 1 1 1 0 1 1 1 1 2 0
"243" 295 243 "Raikou" "Raikou" "<U+30E9><U+30A4><U+30B3><U+30A6> (Raikou)" 2 "Sub Legendary" "Thunder Pokémon" 1 "Electric" 1.9 178 2 "Pressure" 580 90 85 75 115 100 115 3 "Slow" 1 "Undiscovered" 80 1 1 1 0.5 1 1 1 1 2 0.5 1 1 1 1 1 1 0.5 1 4 0
"244" 296 244 "Entei" "Entei" "<U+30A8><U+30F3><U+30C6><U+30A4> (Entei)" 2 "Sub Legendary" "Volcano Pokémon" 1 "Fire" 2.1 198 2 "Pressure" 580 115 115 85 90 75 100 3 "Slow" 1 "Undiscovered" 80 1 0.5 2 1 0.5 0.5 1 1 2 1 1 0.5 2 1 1 1 0.5 0.5 4 0
"245" 297 245 "Suicune" "Suicune" "<U+30B9><U+30A4><U+30AF><U+30F3> (Suicune)" 2 "Sub Legendary" "Aurora Pokémon" 1 "Water" 2 187 2 "Pressure" 580 100 75 115 90 115 85 3 "Slow" 1 "Undiscovered" 80 1 0.5 0.5 2 2 0.5 1 1 1 1 1 1 1 1 1 1 0.5 1 4 0
"246" 298 246 "Larvitar" "Larvitar" "<U+30E8><U+30FC><U+30AE><U+30E9><U+30B9> (Yogiras)" 2 "Normal" "Rock Skin Pokémon" 2 "Rock" 0.6 72 2 "Guts" 300 50 64 50 45 50 41 45 "Slow" 1 "Monster" 40 0.5 0.5 4 0 4 2 2 0.25 2 0.5 1 1 0.5 1 1 1 2 1 2 0
"247" 299 247 "Pupitar" "Pupitar" "<U+30B5><U+30CA><U+30AE><U+30E9><U+30B9> (Sanagiras)" 2 "Normal" "Hard Shell Pokémon" 2 "Rock" 1.2 152 1 "Shed Skin" 410 70 84 70 65 70 51 45 "Slow" 1 "Monster" 40 0.5 0.5 4 0 4 2 2 0.25 2 0.5 1 1 0.5 1 1 1 2 1 3 0
"248" 300 248 "Tyranitar" "Despotar" "<U+30D0><U+30F3><U+30AE><U+30E9><U+30B9> (Bangiras)" 2 "Normal" "Armor Pokémon" 2 "Rock" 2 202 2 "Sand Stream" 600 100 134 110 95 100 61 45 "Slow" 1 "Monster" 40 0.5 0.5 2 1 2 1 4 0.5 2 0.5 0 2 1 0.5 1 0.5 2 2 2 0
"249" 302 249 "Lugia" "Lugia" "<U+30EB><U+30AE><U+30A2> (Lugia)" 2 "Legendary" "Diving Pokémon" 2 "Psychic" 5.2 216 2 "Pressure" 680 106 90 130 90 154 110 3 "Slow" 1 "Undiscovered" 120 1 1 1 2 0.5 2 0.25 1 0 1 0.5 1 2 2 1 2 1 1 3 0
"250" 303 250 "Ho-oh" "Ho-Oh" "<U+30DB><U+30A6><U+30AA><U+30A6> (Houou)" 2 "Legendary" "Rainbow Pokémon" 2 "Fire" 3.8 199 2 "Pressure" 680 106 130 90 110 154 90 3 "Slow" 1 "Undiscovered" 120 1 0.5 2 2 0.25 1 0.5 1 0 1 1 0.25 4 1 1 1 0.5 0.5 3 0
"251" 304 251 "Celebi" "Celebi" "<U+30BB><U+30EC><U+30D3><U+30A3> (Celebi)" 2 "Mythical" "Time Travel Pokémon" 2 "Psychic" 0.6 5 1 "Natural Cure" 600 100 100 100 100 100 100 45 "Medium Slow" 1 "Undiscovered" 120 1 2 0.5 0.5 0.5 2 0.5 2 0.5 2 0.5 4 1 2 1 2 1 1 4 0
"252" 305 252 "Treecko" "Geckarbor" "<U+30AD><U+30E2><U+30EA> (Kimori)" 3 "Normal" "Wood Gecko Pokémon" 1 "Grass" 0.5 5 2 "Overgrow" 310 40 45 35 65 55 70 45 "Medium Slow" 2 "Dragon" 20 1 2 0.5 0.5 0.5 2 1 2 0.5 2 1 2 1 1 1 1 1 1 2 0
"253" 306 253 "Grovyle" "Reptain" "<U+30B8><U+30E5><U+30D7><U+30C8><U+30EB> (Juptile)" 3 "Normal" "Wood Gecko Pokémon" 1 "Grass" 0.9 21.6 2 "Overgrow" 405 50 65 45 85 65 95 45 "Medium Slow" 2 "Dragon" 20 1 2 0.5 0.5 0.5 2 1 2 0.5 2 1 2 1 1 1 1 1 1 2 0
"254" 307 254 "Sceptile" "Gewaldro" "<U+30B8><U+30E5><U+30AB><U+30A4><U+30F3> (Jukain)" 3 "Normal" "Forest Pokémon" 1 "Grass" 1.7 52.2 2 "Overgrow" 530 70 85 65 105 85 120 45 "Medium Slow" 2 "Dragon" 20 1 2 0.5 0.5 0.5 2 1 2 0.5 2 1 2 1 1 1 1 1 1 2 0
"255" 309 255 "Torchic" "Flemmli" "<U+30A2><U+30C1><U+30E3><U+30E2> (Achamo)" 3 "Normal" "Chick Pokémon" 1 "Fire" 0.4 2.5 2 "Blaze" 310 45 60 40 70 50 45 45 "Medium Slow" 1 "Field" 20 1 0.5 2 1 0.5 0.5 1 1 2 1 1 0.5 2 1 1 1 0.5 0.5 3 0
"256" 310 256 "Combusken" "Jungglut" "<U+30EF><U+30AB><U+30B7><U+30E3><U+30E2> (Wakasyamo)" 3 "Normal" "Young Fowl Pokémon" 2 "Fire" 0.9 19.5 2 "Blaze" 405 60 85 60 85 60 55 45 "Medium Slow" 1 "Field" 20 1 0.5 2 1 0.5 0.5 1 1 2 2 2 0.25 1 1 1 0.5 0.5 1 2 0
"257" 311 257 "Blaziken" "Lohgock" "<U+30D0><U+30B7><U+30E3><U+30FC><U+30E2> (Bursyamo)" 3 "Normal" "Blaze Pokémon" 2 "Fire" 1.9 52 2 "Blaze" 530 80 120 70 110 70 80 45 "Medium Slow" 1 "Field" 20 1 0.5 2 1 0.5 0.5 1 1 2 2 2 0.25 1 1 1 0.5 0.5 1 2 0
"258" 313 258 "Mudkip" "Hydropi" "<U+30DF><U+30BA><U+30B4><U+30ED><U+30A6> (Mizugorou)" 3 "Normal" "Mud Fish Pokémon" 1 "Water" 0.4 7.6 2 "Torrent" 310 50 70 50 50 50 40 45 "Medium Slow" 2 "Monster" 20 1 0.5 0.5 2 2 0.5 1 1 1 1 1 1 1 1 1 1 0.5 1 2 0
"259" 314 259 "Marshtomp" "Moorabbel" "<U+30CC><U+30DE><U+30AF><U+30ED><U+30FC> (Numacraw)" 3 "Normal" "Mud Fish Pokémon" 2 "Water" 0.7 28 2 "Torrent" 405 70 85 70 60 70 50 45 "Medium Slow" 2 "Monster" 20 1 0.5 1 0 4 1 1 0.5 1 1 1 1 0.5 1 1 1 0.5 1 1 0
"260" 315 260 "Swampert" "Sumpex" "<U+30E9><U+30B0><U+30E9><U+30FC><U+30B8> (Laglarge)" 3 "Normal" "Mud Fish Pokémon" 2 "Water" 1.5 81.9 2 "Torrent" 535 100 110 90 85 90 60 45 "Medium Slow" 2 "Monster" 20 1 0.5 1 0 4 1 1 0.5 1 1 1 1 0.5 1 1 1 0.5 1 1 0
"261" 317 261 "Poochyena" "Fiffyen" "<U+30DD><U+30C1><U+30A8><U+30CA> (Pochiena)" 3 "Normal" "Bite Pokémon" 1 "Dark" 0.5 13.6 3 "Run Away" 220 35 55 35 30 30 35 255 "Medium Fast" 1 "Field" 15 1 1 1 1 1 1 2 1 1 1 0 2 1 0.5 1 0.5 1 2 2 0
"262" 318 262 "Mightyena" "Magnayen" "<U+30B0><U+30E9><U+30A8><U+30CA> (Graena)" 3 "Normal" "Bite Pokémon" 1 "Dark" 1 37 3 "Intimidate" 420 70 90 70 60 60 70 127 "Medium Fast" 1 "Field" 15 1 1 1 1 1 1 2 1 1 1 0 2 1 0.5 1 0.5 1 2 2 0
"263" 319 263 "Zigzagoon" "Zigzachs" "<U+30B8><U+30B0><U+30B6><U+30B0><U+30DE> (Jiguzaguma)" 3 "Normal" "TinyRaccoon Pokémon" 1 "Normal" 0.4 17.5 3 "Pickup" 240 38 30 41 30 41 60 255 "Medium Fast" 1 "Field" 15 1 1 1 1 1 1 2 1 1 1 1 1 1 0 1 1 1 1 2 0
